x,y,end_x,end_y,playername,goal_id,pass_id,scorer,time,match_date,match_opponent
71.5,68,71.9,68.4,Rodrigo Javier De Paul,7,11,Julián Álvarez,00:21:57.855,2022-11-30,Poland
71.9,68.4,71.1,56.2,Rodrigo Javier De Paul,7,12,Julián Álvarez,00:21:57.855,2022-11-30,Poland
71.1,56.2,70.6,55.8,Lionel Andrés Messi Cuccittini,7,13,Julián Álvarez,00:21:57.855,2022-11-30,Poland
70.6,55.8,66.4,41.2,Lionel Andrés Messi Cuccittini,7,14,Julián Álvarez,00:21:57.855,2022-11-30,Poland
66.4,41.2,62.5,42.3,Leandro Daniel Paredes,7,15,Julián Álvarez,00:21:57.855,2022-11-30,Poland
62.5,42.3,60.6,39.1,Enzo Fernandez,7,16,Julián Álvarez,00:21:57.855,2022-11-30,Poland
60.6,39.1,55.2,21.1,Enzo Fernandez,7,17,Julián Álvarez,00:21:57.855,2022-11-30,Poland
55.2,21.1,55.9,19.4,Nicolás Hernán Otamendi,7,18,Julián Álvarez,00:21:57.855,2022-11-30,Poland
55.9,19.4,73.6,2.7,Nicolás Hernán Otamendi,7,19,Julián Álvarez,00:21:57.855,2022-11-30,Poland
73.6,2.7,74.1,3.6,Nicolás Alejandro Tagliafico,7,20,Julián Álvarez,00:21:57.855,2022-11-30,Poland
74.1,3.6,68.5,11.5,Nicolás Alejandro Tagliafico,7,21,Julián Álvarez,00:21:57.855,2022-11-30,Poland
68.5,11.5,67,14.5,Leandro Daniel Paredes,7,22,Julián Álvarez,00:21:57.855,2022-11-30,Poland
67,14.5,57.8,25.8,Leandro Daniel Paredes,7,23,Julián Álvarez,00:21:57.855,2022-11-30,Poland
57.8,25.8,56.1,30.7,Enzo Fernandez,7,24,Julián Álvarez,00:21:57.855,2022-11-30,Poland
56.1,30.7,61.7,60,Enzo Fernandez,7,25,Julián Álvarez,00:21:57.855,2022-11-30,Poland
61.7,60,62.5,61.5,Rodrigo Javier De Paul,7,26,Julián Álvarez,00:21:57.855,2022-11-30,Poland
62.5,61.5,80.7,73.5,Rodrigo Javier De Paul,7,27,Julián Álvarez,00:21:57.855,2022-11-30,Poland
80.7,73.5,80.7,73.7,Nahuel Molina Lucero,7,28,Julián Álvarez,00:21:57.855,2022-11-30,Poland
80.7,73.7,69.8,69.9,Nahuel Molina Lucero,7,29,Julián Álvarez,00:21:57.855,2022-11-30,Poland
69.8,69.9,70,68.6,Rodrigo Javier De Paul,7,30,Julián Álvarez,00:21:57.855,2022-11-30,Poland
70,68.6,69.6,50.2,Rodrigo Javier De Paul,7,31,Julián Álvarez,00:21:57.855,2022-11-30,Poland
69.6,50.2,68.9,52.1,Lionel Andrés Messi Cuccittini,7,32,Julián Álvarez,00:21:57.855,2022-11-30,Poland
68.9,52.1,80.1,51.9,Lionel Andrés Messi Cuccittini,7,33,Julián Álvarez,00:21:57.855,2022-11-30,Poland
80.1,51.9,83.7,55.3,Lionel Andrés Messi Cuccittini,7,34,Julián Álvarez,00:21:57.855,2022-11-30,Poland
83.7,55.3,109.8,64.7,Lionel Andrés Messi Cuccittini,7,35,Julián Álvarez,00:21:57.855,2022-11-30,Poland
109.8,64.7,111.3,63,Nahuel Molina Lucero,7,36,Julián Álvarez,00:21:57.855,2022-11-30,Poland
111.3,63,93.7,54.3,Nahuel Molina Lucero,7,37,Julián Álvarez,00:21:57.855,2022-11-30,Poland
93.7,54.3,93.5,52.3,Rodrigo Javier De Paul,7,38,Julián Álvarez,00:21:57.855,2022-11-30,Poland
93.5,52.3,105.1,64.1,Rodrigo Javier De Paul,7,39,Julián Álvarez,00:21:57.855,2022-11-30,Poland
105.1,64.1,104.4,66,Nahuel Molina Lucero,7,40,Julián Álvarez,00:21:57.855,2022-11-30,Poland
